BASKET_NUM                      ,HSHD_NUM        ,PURCHASE_,PRODUCT_NUM                     ,     SPEND,     UNITS,STORE_R,  WEEK_NUM,YEAR
2,1600,17-Aug-18,83652,0.59,1,CENTRAL,32,2018
9,159,17-Aug-18,6157725,3.49,1,WEST   ,32,2018
16,210,17-Aug-18,654479,2.24,1,CENTRAL,32,2018
16,616,17-Aug-18,8118,5.39,1,CENTRAL,32,2018
25,1261,17-Aug-18,94343,1,1,SOUTH  ,32,2018
